Wed Mar  2 20:41:44 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00736, valid loss: 2.03192, Acc: 64.9576, AUC: 0.703134
Wed Mar  2 21:16:16 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.63155, valid loss: 0.61962, Acc: 65.6189, AUC: 0.714025
Wed Mar  2 21:51:56 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.61886, valid loss: 0.61161, Acc: 66.3447, AUC: 0.725712
Wed Mar  2 22:26:33 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.59309, valid loss: 0.60943, Acc: 67.2190, AUC: 0.732811
Wed Mar  2 23:01:35 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.57117, valid loss: 0.62391, Acc: 66.8029, AUC: 0.734013
Wed Mar  2 23:38:25 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.54352, valid loss: 0.62626, Acc: 66.5280, AUC: 0.730366
Thu Mar  3 00:15:36 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.50376, valid loss: 0.65565, Acc: 66.2976, AUC: 0.728542
Thu Mar  3 00:52:27 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.44290, valid loss: 0.66995, Acc: 65.9979, AUC: 0.722148
Thu Mar  3 01:29:36 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.36601, valid loss: 0.81636, Acc: 64.7395, AUC: 0.703519
Thu Mar  3 02:06:26 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.28722, valid loss: 0.84962, Acc: 64.5984, AUC: 0.701960
Thu Mar  3 02:43:16 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.21279, valid loss: 0.90631, Acc: 64.5736, AUC: 0.701032
Thu Mar  3 03:19:52 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.15554, valid loss: 1.07321, Acc: 63.8057, AUC: 0.691792
Thu Mar  3 03:56:45 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.10892, valid loss: 1.17269, Acc: 64.4695, AUC: 0.696045
Thu Mar  3 04:33:13 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.07856, valid loss: 1.47309, Acc: 64.5439, AUC: 0.699259
Thu Mar  3 05:10:01 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.05190, valid loss: 1.45317, Acc: 64.4795, AUC: 0.700052
Thu Mar  3 05:46:29 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.03307, valid loss: 1.65377, Acc: 64.5191, AUC: 0.698674
